pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled,ilp_solver,actual_threshold,raw_mces_result,error_message,result_type,is_exact,is_lower_bound,d1,d_bond,d_path,d2,d_rascal
964,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCC[C@H](O)[C@@H](O)C\C=C/CCCCC,CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](C\C=C/CCCC(=O)OC[C@H](COP(O)(O)=O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)[C@@H](O)CC1=O,819.155,819.026,0.129,1.647562981,0.398916721,20.5,2,0,0,0,10,"(0, 20.5, 0.39891672134399414, 2, 0, 10, 9.0, 9.5, 20.5, 9.0, 0.0)",,lower_bound,0,1,9,9.5,20.5,9,0
1073,[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC,849.42,849.42,1.14E-13,15.87491775,14.6384213,6,1,0,1,1,10,"(0, 6.0, 14.638421297073364, 1, 1, 10, 1.0, 0.0, 2.0, 1.0, 0)",,exact,1,0,1,0,2,1,0
1586,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC,[H][C@@](COC(=O)CC\C=C/CC(O)\C=C/C=C\C\C=C/C\C=C/C\C=C/CC)(COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,849.42,848.068,1.352,1.217028141,0.003057241,21,2,0,0,0,10,"(0, 21.0, 0.003057241439819336, 2, 0, 10, 21.0, None, None, None, 0.0)",,lower_bound,0,1,21,,,,0
3772,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCC,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@H](O)CO,905.528,905.201,0.327,1.211221933,0.00199461,19,2,0,0,0,10,"(0, 19.0, 0.001994609832763672, 2, 0, 10, 19.0, None, None, None, 0.0)",,lower_bound,0,1,19,,,,0
3995,[H][C@@](CO\C=C\CCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C=C/[C@H](O)CC,[H][C@](COC(=O)CCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCC,808.135,807.339,0.796,1.276711464,0.003023624,17,2,0,0,0,10,"(0, 17.0, 0.0030236244201660156, 2, 0, 10, 17.0, None, None, None, 0.0)",,lower_bound,0,1,17,,,,0
4683,CCCCC\C=C/C\C=C/C\C=C/CCCCC(=O)O[C@H](COC(=O)CCC\C=C/C[C@H]1C=CC(=O)[C@@H]1\C=C\[C@@H](O)CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCC,834.085,835.393,1.308,1.156784296,0.002993822,22,2,0,0,0,10,"(0, 22.0, 0.0029938220977783203, 2, 0, 10, 22.0, None, None, None, 0.0)",,lower_bound,0,1,22,,,,0
7023,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCC,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC,877.474,877.474,1.14E-13,9.104021072,7.680766106,6,1,0,1,1,10,"(0, 6.0, 7.6807661056518555, 1, 1, 10, 0.0, 0.0, 1.0, 0.0, 0)",,exact,1,0,0,0,1,0,0
7405,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCC(C)CC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)C,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCCC,891.501,891.501,1.14E-13,10.33965969,9.160487175,6,1,0,1,1,10,"(0, 6.0, 9.160487174987793, 1, 1, 10, 2.0, 0.0, 4.0, 2.0, 0)",,exact,1,0,2,0,4,2,0
7894,[H][C@@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC,821.366,821.366,1.14E-13,3.531569719,2.321689606,4,1,0,1,1,10,"(0, 4.0, 2.3216896057128906, 1, 1, 10, 1.0, 0.0, 2.0, 1.0, 0)",,exact,1,0,1,0,2,1,0
8280,CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](O)[C@@H](O)[C@H]2OP(O)(=O)OC[C@@H](COC(=O)CCC\C=C/C[C@@H]([C@@H](O)CC1=O)[C@@H](O)[C@H](O)[C@H]2O)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,[H][C@@](COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C=C/[C@@H](O)CC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](OP(O)(O)=O)C1O)OC(=O)CCCCCCCCCCCCC\C=C/CC,979.151,979.088,0.063,1.199549675,0.003025532,12,2,0,0,0,10,"(0, 12.0, 0.003025531768798828, 2, 0, 10, 12.0, None, None, None, 0.0)",,lower_bound,0,1,12,,,,0
